Id,Overall Qual,Gr Liv Area,Year Built,BsmtFin SF 1,Garage Area,Lot Area,SalePrice
109,6,1479,1976,533.0,475.0,13517,130500
544,7,2122,1996,637.0,559.0,11492,220000
153,5,1057,1953,731.0,246.0,7922,109000
318,5,1444,2006,0.0,400.0,9802,174000
255,6,1445,1900,0.0,484.0,14235,138500
138,6,1888,1966,247.0,578.0,16492,190000
2827,6,1072,2005,547.0,525.0,3675,140000
145,5,1188,1959,1000.0,531.0,12160,142000
1942,5,924,1952,292.0,420.0,15783,112500
1956,5,2080,1969,650.0,504.0,11606,135000
1044,6,987,1971,387.0,264.0,1680,85400
2752,7,1208,2005,393.0,632.0,7488,183600
807,5,2016,1880,0.0,576.0,26400,131000
1177,8,1607,1999,813.0,480.0,2645,200000
1480,7,1361,2007,24.0,610.0,9627,193000
324,5,1430,2004,0.0,624.0,10114,173500
1311,5,1344,1916,0.0,513.0,4571,98000
770,5,1121,1963,651.0,480.0,8816,139000
2063,6,1285,1977,0.0,528.0,8197,143500
69,7,1547,2009,24.0,614.0,8640,215200
2062,5,894,1968,492.0,450.0,8724,129000
351,8,1659,2000,1158.0,499.0,5664,278000
2393,8,2253,2005,0.0,575.0,12867,344133
12,6,1187,1992,935.0,420.0,7980,185000
2339,5,1056,1955,1056.0,572.0,34650,145000
624,6,1453,1961,1312.0,530.0,10573,187500
86,5,894,1965,553.0,336.0,8450,138500
1534,5,1938,1937,606.0,240.0,11700,198000
2243,5,1991,1895,0.0,0.0,8250,119600
1957,5,924,1949,0.0,576.0,8064,122900
380,8,2524,1981,1104.0,542.0,9600,278000
2860,8,1517,1929,0.0,400.0,11435,230000
2517,8,1494,1995,437.0,481.0,9549,270000
1933,6,948,1952,441.0,410.0,10950,125000
820,8,1718,2007,1288.0,826.0,10637,297000
675,6,1142,1958,0.0,384.0,9000,113500
2910,5,1475,1977,548.0,336.0,2665,127000
21,6,1844,1977,705.0,546.0,11751,190000
1873,7,1242,1973,916.0,528.0,9600,175500
2125,5,990,1994,420.0,384.0,8428,146000
1489,5,1256,1965,830.0,276.0,9937,147500
2383,10,2076,2006,1386.0,850.0,13891,465000
983,5,1110,1978,1097.0,602.0,9101,165500
1325,5,1795,1954,0.0,352.0,12150,131500
1378,5,1040,1965,906.0,384.0,11200,129500
1537,8,1873,1935,210.0,786.0,9670,257076
905,5,1604,1941,408.0,660.0,10998,117000
1532,7,1502,1931,0.0,270.0,7200,149000
132,5,1063,1954,354.0,280.0,9920,128000
1078,7,1626,2003,0.0,474.0,2448,155000
2511,6,1524,2000,353.0,440.0,2998,166000
912,4,1981,1928,622.0,576.0,7804,135000
2351,7,2784,1978,790.0,564.0,16692,250000
330,4,1092,1970,176.0,0.0,1476,76000
2586,6,1575,1951,0.0,400.0,10170,155000
224,6,1352,1969,371.0,299.0,9364,158000
98,7,1200,2004,368.0,480.0,2544,149500
2565,5,936,1954,486.0,240.0,9888,121000
1934,6,1040,1953,85.0,293.0,7942,136000
997,6,1636,1996,138.0,386.0,15038,173000
64,8,2270,1999,524.0,671.0,11764,290000
1799,8,2610,2007,64.0,550.0,9000,303477
230,7,1483,1977,1092.0,690.0,20062,270000
1295,5,1740,1920,360.0,225.0,7308,122250
638,5,1382,1955,172.0,350.0,8750,153000
2278,5,1120,2007,206.0,0.0,8402,147000
2202,7,1098,1930,246.0,216.0,4000,148500
2833,7,1708,2004,0.0,380.0,3363,130000
1707,9,1802,2006,0.0,843.0,13615,372000
2428,7,1506,2005,16.0,440.0,3013,213490
242,7,1508,2009,1346.0,572.0,17485,308030
1564,7,2032,1996,700.0,786.0,23730,300000
2613,6,1194,1959,655.0,539.0,8910,159500
2832,7,1709,2004,0.0,380.0,2522,137500
2459,7,1616,2005,0.0,834.0,8688,232000
1360,6,768,1930,0.0,440.0,6291,93850
2723,5,872,1924,0.0,322.0,17529,105000
1350,4,520,1927,0.0,240.0,6324,68500
136,5,2274,1960,443.0,480.0,11600,154300
2235,5,1601,1925,0.0,0.0,7288,129850
1993,5,1232,1910,168.0,480.0,4571,114000
367,9,2234,2008,1904.0,1166.0,17423,501837
1309,5,1416,1915,0.0,720.0,12665,153900
402,4,864,1971,240.0,576.0,9000,130000
1592,6,1189,1997,864.0,392.0,4500,160500
2409,9,1666,2006,415.0,575.0,6373,310090
539,7,1200,2003,833.0,555.0,10083,184900
1940,5,928,1956,377.0,252.0,13300,132000
588,5,1336,1969,553.0,502.0,9600,163000
96,7,1200,2004,280.0,480.0,3215,155000
1187,6,1427,1969,828.0,516.0,11104,183000
2154,7,1992,1996,762.0,608.0,15295,211000
550,7,1540,1994,36.0,495.0,9109,184000
811,5,1535,1979,0.0,400.0,7018,118858
124,5,1152,1964,1014.0,484.0,14112,180500
1836,8,1151,2006,60.0,484.0,3523,166000
779,6,1138,1960,588.0,480.0,15312,148000
1886,5,1074,1956,438.0,396.0,7450,124000
1724,9,1561,2005,1153.0,556.0,7313,277500
2450,8,2726,1995,527.0,725.0,10019,350000
1013,9,1884,2004,1337.0,670.0,15401,387000
2084,4,605,1920,348.0,0.0,9098,86000
1184,8,1671,1976,1044.0,550.0,16280,290000
728,3,797,1900,0.0,0.0,9392,44000
950,6,1961,2001,690.0,560.0,12209,215000
2524,5,1193,1972,962.0,501.0,13110,146500
2513,7,1382,2000,641.0,490.0,2651,165000
2028,6,2526,1916,168.0,216.0,8520,136000
2309,6,1390,1957,1110.0,550.0,39384,252000
51,7,1626,2003,0.0,474.0,2628,175500
699,5,1558,1939,421.0,400.0,6406,150000
1881,5,1422,1960,0.0,286.0,12342,139900
1345,5,1573,1930,0.0,360.0,6240,162900
166,6,1116,1962,0.0,440.0,10000,160000
781,2,660,1947,0.0,0.0,9000,63900
379,6,1707,1978,832.0,479.0,11088,184000
2818,5,1466,1959,176.0,528.0,17755,149900
1168,9,1638,2000,1027.0,495.0,4765,300000
1396,5,1721,1960,988.0,626.0,10532,145000
838,6,1764,1997,821.0,470.0,15426,231500
1492,5,996,1940,290.0,0.0,13907,108000
637,5,1202,1956,435.0,304.0,8750,120000
1826,5,988,1961,827.0,572.0,9945,128500
173,5,1028,1927,0.0,360.0,8960,115000
715,5,1284,1947,312.0,240.0,3500,110000
1183,9,2944,1977,410.0,864.0,24572,150000
2433,8,1414,2004,0.0,403.0,9056,178000
2866,7,1609,1932,0.0,579.0,12320,199500
2311,6,1525,1997,700.0,400.0,8238,183500
