Id,Lot Area,Overall Qual,Year Built,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,TotRms AbvGrd,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,SalePrice,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_StoneBr,Exter Qual_TA,Kitchen Qual_Gd,Kitchen Qual_TA
109,13517,6,1976,289.0,533.0,0.0,192.0,725.0,725,754,0,1479,6,475.0,0,44,0,0,0,0,0,130500,0,0,0,0,1,0
544,11492,7,1996,132.0,637.0,0.0,276.0,913.0,913,1209,0,2122,8,559.0,0,74,0,0,0,0,0,220000,0,0,0,0,1,0
153,7922,5,1953,0.0,731.0,0.0,326.0,1057.0,1057,0,0,1057,5,246.0,0,52,0,0,0,0,0,109000,0,0,0,1,1,0
318,9802,5,2006,0.0,0.0,0.0,384.0,384.0,744,700,0,1444,7,400.0,100,0,0,0,0,0,0,174000,0,0,0,1,0,1
255,14235,6,1900,0.0,0.0,0.0,676.0,676.0,831,614,0,1445,6,484.0,0,59,0,0,0,0,0,138500,0,0,0,1,0,1
138,16492,6,1966,0.0,247.0,713.0,557.0,1517.0,1888,0,0,1888,6,578.0,0,0,0,0,0,0,0,190000,0,0,0,0,1,0
2827,3675,6,2005,82.0,547.0,0.0,0.0,547.0,1072,0,0,1072,5,525.0,0,44,0,0,0,0,0,140000,0,0,0,1,0,1
145,12160,5,1959,180.0,1000.0,0.0,188.0,1188.0,1188,0,0,1188,6,531.0,0,0,0,0,0,0,0,142000,0,0,0,1,0,1
1942,15783,5,1952,0.0,292.0,0.0,632.0,924.0,924,0,0,924,6,420.0,0,324,0,0,0,0,400,112500,0,0,0,1,0,1
1956,11606,5,1969,192.0,650.0,0.0,390.0,1040.0,1040,1040,0,2080,9,504.0,335,0,0,0,0,0,0,135000,0,0,0,1,0,0
1044,1680,6,1971,232.0,387.0,0.0,96.0,483.0,483,504,0,987,4,264.0,0,0,0,0,0,0,0,85400,0,0,0,1,0,1
2752,7488,7,2005,0.0,393.0,0.0,815.0,1208.0,1208,0,0,1208,6,632.0,105,58,0,0,0,0,0,183600,0,0,0,0,1,0
807,26400,5,1880,0.0,0.0,0.0,0.0,0.0,1288,728,0,2016,7,576.0,0,0,0,0,0,0,0,131000,0,0,0,0,0,1
1177,2645,8,1999,456.0,813.0,0.0,147.0,960.0,962,645,0,1607,7,480.0,169,0,0,0,0,0,0,200000,0,0,0,0,1,0
